"County","FIPS","Year","Grade","School Type","Measure Type","Variable","Value"
"Connecticut","09","2008-2012","Grades 9 to 12","Private","Number","Margins of Error",1056
"Connecticut","09","2008-2012","Grades 9 to 12","Private","Percent","Enrolled Students",10.7
"Connecticut","09","2008-2012","Grades 9 to 12","Private","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Total","Total","Number","Enrolled Students",679938
"Connecticut","09","2009-2013","Total","Total","Number","Margins of Error",4266
"Connecticut","09","2009-2013","Total","Total","Percent","Enrolled Students",100
"Connecticut","09","2009-2013","Total","Total","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Total","Public","Number","Enrolled Students",586892
"Connecticut","09","2009-2013","Total","Public","Number","Margins of Error",4249
"Connecticut","09","2009-2013","Total","Public","Percent","Enrolled Students",86.3
"Connecticut","09","2009-2013","Total","Public","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Total","Private","Number","Enrolled Students",93046
"Connecticut","09","2009-2013","Total","Private","Number","Margins of Error",1978
"Connecticut","09","2009-2013","Total","Private","Percent","Enrolled Students",13.7
"Connecticut","09","2009-2013","Total","Private","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Pre-K","Total","Number","Enrolled Students",61580
"Connecticut","09","2009-2013","Pre-K","Total","Number","Margins of Error",1392
"Connecticut","09","2009-2013","Pre-K","Total","Percent","Enrolled Students",9.1
"Connecticut","09","2009-2013","Pre-K","Total","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Pre-K","Public","Number","Enrolled Students",31410
"Connecticut","09","2009-2013","Pre-K","Public","Number","Margins of Error",1153
"Connecticut","09","2009-2013","Pre-K","Public","Percent","Enrolled Students",51
"Connecticut","09","2009-2013","Pre-K","Public","Percent","Margins of Error",2
"Connecticut","09","2009-2013","Pre-K","Private","Number","Enrolled Students",30170
"Connecticut","09","2009-2013","Pre-K","Private","Number","Margins of Error",1098
"Connecticut","09","2009-2013","Pre-K","Private","Percent","Enrolled Students",49
"Connecticut","09","2009-2013","Pre-K","Private","Percent","Margins of Error",1
"Connecticut","09","2009-2013","K","Total","Number","Enrolled Students",43010
"Connecticut","09","2009-2013","K","Total","Number","Margins of Error",1372
"Connecticut","09","2009-2013","K","Total","Percent","Enrolled Students",6.3
"Connecticut","09","2009-2013","K","Total","Percent","Margins of Error",0
"Connecticut","09","2009-2013","K","Public","Number","Enrolled Students",37512
"Connecticut","09","2009-2013","K","Public","Number","Margins of Error",1257
"Connecticut","09","2009-2013","K","Public","Percent","Enrolled Students",87.2
"Connecticut","09","2009-2013","K","Public","Percent","Margins of Error",1
"Connecticut","09","2009-2013","K","Private","Number","Enrolled Students",5498
"Connecticut","09","2009-2013","K","Private","Number","Margins of Error",489
"Connecticut","09","2009-2013","K","Private","Percent","Enrolled Students",12.8
"Connecticut","09","2009-2013","K","Private","Percent","Margins of Error",1
"Connecticut","09","2009-2013","Grades 1 to 4","Total","Number","Enrolled Students",178991
"Connecticut","09","2009-2013","Grades 1 to 4","Total","Number","Margins of Error",2425
"Connecticut","09","2009-2013","Grades 1 to 4","Total","Percent","Enrolled Students",26.3
"Connecticut","09","2009-2013","Grades 1 to 4","Total","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Grades 1 to 4","Public","Number","Enrolled Students",162106
"Connecticut","09","2009-2013","Grades 1 to 4","Public","Number","Margins of Error",2480
"Connecticut","09","2009-2013","Grades 1 to 4","Public","Percent","Enrolled Students",90.6
"Connecticut","09","2009-2013","Grades 1 to 4","Public","Percent","Margins of Error",1
"Connecticut","09","2009-2013","Grades 1 to 4","Private","Number","Enrolled Students",16885
"Connecticut","09","2009-2013","Grades 1 to 4","Private","Number","Margins of Error",856
"Connecticut","09","2009-2013","Grades 1 to 4","Private","Percent","Enrolled Students",9.4
"Connecticut","09","2009-2013","Grades 1 to 4","Private","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Grades 5 to 8","Total","Number","Enrolled Students",188766
"Connecticut","09","2009-2013","Grades 5 to 8","Total","Number","Margins of Error",2336
"Connecticut","09","2009-2013","Grades 5 to 8","Total","Percent","Enrolled Students",27.8
"Connecticut","09","2009-2013","Grades 5 to 8","Total","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Grades 5 to 8","Public","Number","Enrolled Students",170468
"Connecticut","09","2009-2013","Grades 5 to 8","Public","Number","Margins of Error",2417
"Connecticut","09","2009-2013","Grades 5 to 8","Public","Percent","Enrolled Students",90.3
"Connecticut","09","2009-2013","Grades 5 to 8","Public","Percent","Margins of Error",1
"Connecticut","09","2009-2013","Grades 5 to 8","Private","Number","Enrolled Students",18298
"Connecticut","09","2009-2013","Grades 5 to 8","Private","Number","Margins of Error",889
"Connecticut","09","2009-2013","Grades 5 to 8","Private","Percent","Enrolled Students",9.7
"Connecticut","09","2009-2013","Grades 5 to 8","Private","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Grades 9 to 12","Total","Number","Enrolled Students",207591
"Connecticut","09","2009-2013","Grades 9 to 12","Total","Number","Margins of Error",1743
"Connecticut","09","2009-2013","Grades 9 to 12","Total","Percent","Enrolled Students",30.5
"Connecticut","09","2009-2013","Grades 9 to 12","Total","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Grades 9 to 12","Public","Number","Enrolled Students",185396
"Connecticut","09","2009-2013","Grades 9 to 12","Public","Number","Margins of Error",1775
"Connecticut","09","2009-2013","Grades 9 to 12","Public","Percent","Enrolled Students",89.3
"Connecticut","09","2009-2013","Grades 9 to 12","Public","Percent","Margins of Error",0
"Connecticut","09","2009-2013","Grades 9 to 12","Private","Number","Enrolled Students",22195
"Connecticut","09","2009-2013","Grades 9 to 12","Private","Number","Margins of Error",973
"Connecticut","09","2009-2013","Grades 9 to 12","Private","Percent","Enrolled Students",10.7
"Connecticut","09","2009-2013","Grades 9 to 12","Private","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Total","Total","Number","Enrolled Students",674627
"Connecticut","09","2010-2014","Total","Total","Number","Margins of Error",4045
"Connecticut","09","2010-2014","Total","Total","Percent","Enrolled Students",100
"Connecticut","09","2010-2014","Total","Total","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Total","Public","Number","Enrolled Students",582868
"Connecticut","09","2010-2014","Total","Public","Number","Margins of Error",3943
"Connecticut","09","2010-2014","Total","Public","Percent","Enrolled Students",86.4
"Connecticut","09","2010-2014","Total","Public","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Total","Private","Number","Enrolled Students",91759
"Connecticut","09","2010-2014","Total","Private","Number","Margins of Error",1943
"Connecticut","09","2010-2014","Total","Private","Percent","Enrolled Students",13.6
"Connecticut","09","2010-2014","Total","Private","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Pre-K","Total","Number","Enrolled Students",60314
"Connecticut","09","2010-2014","Pre-K","Total","Number","Margins of Error",1445
"Connecticut","09","2010-2014","Pre-K","Total","Percent","Enrolled Students",8.9
"Connecticut","09","2010-2014","Pre-K","Total","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Pre-K","Public","Number","Enrolled Students",31249
"Connecticut","09","2010-2014","Pre-K","Public","Number","Margins of Error",1230
"Connecticut","09","2010-2014","Pre-K","Public","Percent","Enrolled Students",51.8
"Connecticut","09","2010-2014","Pre-K","Public","Percent","Margins of Error",2
"Connecticut","09","2010-2014","Pre-K","Private","Number","Enrolled Students",29065
"Connecticut","09","2010-2014","Pre-K","Private","Number","Margins of Error",1048
"Connecticut","09","2010-2014","Pre-K","Private","Percent","Enrolled Students",48.2
"Connecticut","09","2010-2014","Pre-K","Private","Percent","Margins of Error",1
"Connecticut","09","2010-2014","K","Total","Number","Enrolled Students",42633
"Connecticut","09","2010-2014","K","Total","Number","Margins of Error",1285
"Connecticut","09","2010-2014","K","Total","Percent","Enrolled Students",6.3
"Connecticut","09","2010-2014","K","Total","Percent","Margins of Error",0
"Connecticut","09","2010-2014","K","Public","Number","Enrolled Students",37435
"Connecticut","09","2010-2014","K","Public","Number","Margins of Error",1186
"Connecticut","09","2010-2014","K","Public","Percent","Enrolled Students",87.8
"Connecticut","09","2010-2014","K","Public","Percent","Margins of Error",1
"Connecticut","09","2010-2014","K","Private","Number","Enrolled Students",5198
"Connecticut","09","2010-2014","K","Private","Number","Margins of Error",482
"Connecticut","09","2010-2014","K","Private","Percent","Enrolled Students",12.2
"Connecticut","09","2010-2014","K","Private","Percent","Margins of Error",1
"Connecticut","09","2010-2014","Grades 1 to 4","Total","Number","Enrolled Students",176910
"Connecticut","09","2010-2014","Grades 1 to 4","Total","Number","Margins of Error",2072
"Connecticut","09","2010-2014","Grades 1 to 4","Total","Percent","Enrolled Students",26.2
"Connecticut","09","2010-2014","Grades 1 to 4","Total","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Grades 1 to 4","Public","Number","Enrolled Students",160320
"Connecticut","09","2010-2014","Grades 1 to 4","Public","Number","Margins of Error",2119
"Connecticut","09","2010-2014","Grades 1 to 4","Public","Percent","Enrolled Students",90.6
"Connecticut","09","2010-2014","Grades 1 to 4","Public","Percent","Margins of Error",1
"Connecticut","09","2010-2014","Grades 1 to 4","Private","Number","Enrolled Students",16590
"Connecticut","09","2010-2014","Grades 1 to 4","Private","Number","Margins of Error",800
"Connecticut","09","2010-2014","Grades 1 to 4","Private","Percent","Enrolled Students",9.4
"Connecticut","09","2010-2014","Grades 1 to 4","Private","Percent","Margins of Error",0
